Series Name,Series Code,Country Name,Country Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Individuals using the Internet (% of population),IT.NET.USER.ZS,New Zealand,NZL,81.2,81.6,82.8,84,85.2,86.5,87.7,89,89.9,95.2,96.1,96.2,96.2,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Nicaragua,NIC,10.6,13.5,15.5,17.6,19.7,24.6,30.4,33.9,37.8,42.2,47.1,49.1,58.2,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Niger,NER,0.9,1.05,1.15,1.25,2.48,4.32,10.2,..,16.6,17,17.5,23.3,23.2,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Nigeria,NGA,13.8,16.1,19.1,21,22.5,24.1,25.9,27.7,29.7,31.9,35.5,37.7,39.2,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,North Macedonia,MKD,56.7,57.4,65.2,68.1,70.4,72.2,74.5,79.2,81.4,81.4,81.9,85,87.2,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Norway,NOR,93.5,94.7,95.1,96.3,96.8,97.3,96.4,96.5,98,94.6,99,99,99,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Oman,OMN,48,60,66.5,70.2,73.5,76.8,80.2,85.5,90.3,95.2,95.2,95.2,95.3,95.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,Pakistan,PAK,8,8.1,9,10,11,12.4,13.8,15.3,17.1,18.9,21.4,24.2,27.4,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Panama,PAN,42.7,40.3,44,44.9,51.2,54,60,61.8,63.6,70,77,77.7,78,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Papua New Guinea,PNG,2,3.5,5.1,6.5,7.9,9.6,11.2,..,20,24.4,23.2,23.7,24.1,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Paraguay,PRY,24.8,29.3,36.9,43,49.7,53.4,61.1,65,68.5,74,77,76.3,78.1,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Peru,PER,36,38.2,39.2,40.2,40.9,45.5,50.5,55.1,60,65.3,71.1,74.7,79.5,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Philippines,PHL,29,30.8,32.7,34.7,36.9,39.2,41.6,44.1,43,53.8,66.9,75.2,83.8,..
